Algorithm,Input,Time,Date
binarySearch,10000000,0.0,20250713T0030
binarySearch,50000000,0.0,20250713T0030
binarySearch,100000000,0.0,20250713T0030
binarySearch,200000000,0.0,20250713T0030
binarySearch,300000000,0.0,20250713T0030
binarySearch,400000000,0.0,20250713T0030
binarySearch,500000000,0.0,20250713T0030
binarySearch,600000000,0.0,20250713T0030
binarySearch,700000000,0.0,20250713T0030
binarySearch,800000000,0.0,20250713T0030
binarySearch,900000000,0.0,20250713T0030
binarySearch,1000000000,0.0,20250713T0030
binarySearch,10000000,0.0,20250721T1802
binarySearch,50000000,0.0,20250721T1802
binarySearch,100000000,0.0,20250721T1802
binarySearch,200000000,0.0,20250721T1802
binarySearch,300000000,0.0,20250721T1802
binarySearch,400000000,0.0,20250721T1802
binarySearch,500000000,0.0,20250721T1802
